id,slug,name,scientific_name,category,image_role,aspect_ratio,target_file_path,status,prompt,midjourney_command,alt_text
amla,amla,Amla,Phyllanthus emblica,berry,Hero,16:9,public/images/fruits/amla/hero.jpg,pending,"Commercial editorial food photography of fresh green Amla (Indian gooseberry), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows translucent pale-green spherical berries with six subtle vertical segment lines and delicate feathery leaves, one halved showing pale crisp interior and stone, resting on wet dark slate. Clean chiaroscuro lighting, green backlight, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of fresh green Amla (Indian gooseberry), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows translucent pale-green spherical berries with six subtle vertical segment lines and delicate feathery leaves, one halved showing pale crisp interior and stone, resting on wet dark slate. Clean chiaroscuro lighting, green backlight, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",Cluster of translucent pale green ribbed amla berries with delicate feathery leaves on dark slate
amla,amla,Amla,Phyllanthus emblica,berry,Macro-Break,16:9,public/images/fruits/amla/macro-break.jpg,pending,"Extreme macro photography of sliced amla fruit, focusing on translucent lime-green cellular pulp illuminated from behind, micro-droplets of vitamin-C rich juice, fine crystalline texture, dark slate, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of sliced amla fruit, focusing on translucent lime-green cellular pulp illuminated from behind, micro-droplets of vitamin-C rich juice, fine crystalline texture, dark slate, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of sliced amla berry showing jade translucent segments and ascorbic tannin vesicles
apple,apple,Apple,Malus domestica,pome,Hero,16:9,public/images/fruits/apple/hero.jpg,ready,"Commercial editorial food photography of Crisp heirloom red apples on dark charcoal slate with one sliced cleanly in half displaying starry seed cavity and ivory flesh, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9","Commercial editorial food photography of Crisp heirloom red apples on dark charcoal slate with one sliced cleanly in half displaying starry seed cavity and ivory flesh, right-weighted composition, dark slate plinth, chiaroscuro lighting, deep black background, 85mm lens, 8k. --ar 16:9 --style raw --v 6.1",Crisp heirloom red apples on dark charcoal slate with one sliced cleanly in half displaying starry seed cavity and ivory flesh
apple,apple,Apple,Malus domestica,pome,Macro-Break,16:9,public/images/fruits/apple/macro-break.jpg,ready,"Extreme macro food science photography of Extreme macro of sliced apple showing crisp parenchymal cells and anthocyanin-flushed peel, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9","Extreme macro food science photography of Extreme macro of sliced apple showing crisp parenchymal cells and anthocyanin-flushed peel, 100mm macro lens, f/2.8, shallow depth of field, crystalline cellular detail, dark slate. --ar 16:9 --style raw --v 6.1",Extreme macro of sliced apple showing crisp parenchymal cells and anthocyanin-flushed peel
apricot,apricot,Apricot,Prunus armeniaca,stone-fruit,Hero,16:9,public/images/fruits/apricot/hero.jpg,pending,"Commercial editorial food photography of fresh ripe apricots, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows one whole velvet golden-orange apricot with red blush alongside one split half showing warm saffron-orange interior flesh and smooth almond-like pit, resting on dark textured slate. Warm directional chiaroscuro lighting, 85mm lens, f/4.0. --ar 16:9","Commercial editorial food photography of fresh ripe apricots, right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows one whole velvet golden-orange apricot with red blush alongside one split half showing warm saffron-orange interior flesh and smooth almond-like pit, resting on dark textured slate. Warm directional chiaroscuro lighting, 85mm lens, f/4.0. --ar 16:9 --style raw --v 6.1",Ripe golden-orange velvety apricots with one sliced open showing stone pit on dark slate
apricot,apricot,Apricot,Prunus armeniaca,stone-fruit,Macro-Break,16:9,public/images/fruits/apricot/macro-break.jpg,pending,"Extreme macro photography of apricot skin and flesh, focusing on delicate velvety pubescent fuzz along the golden-orange skin edge, soft melting carotenoid parenchymal cells beneath, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of apricot skin and flesh, focusing on delicate velvety pubescent fuzz along the golden-orange skin edge, soft melting carotenoid parenchymal cells beneath, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Extreme macro photograph of velvety golden apricot skin fine pubescence and succulent orange pulp
asian-pear,asian-pear,Asian Pear,Pyrus pyrifolia,pome,Hero,16:9,public/images/fruits/asian-pear/hero.jpg,pending,"Commercial editorial food photography of Asian Pear (Nashi), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows one whole spherical apple-shaped russet-tan pear with pale lenticel speckles and leaf alongside a clean cross-section half showing crystalline, water-saturated snow-white flesh and starry core, resting on wet dark slate. Chiaroscuro lighting, 85mm, f/4.0. --ar 16:9","Commercial editorial food photography of Asian Pear (Nashi), right-weighted composition on the right third of the frame, leaving clean deep dark negative space on the left. Arrangement shows one whole spherical apple-shaped russet-tan pear with pale lenticel speckles and leaf alongside a clean cross-section half showing crystalline, water-saturated snow-white flesh and starry core, resting on wet dark slate. Chiaroscuro lighting, 85mm, f/4.0. --ar 16:9 --style raw --v 6.1",asian-pear botanical still life on dark slate
asian-pear,asian-pear,Asian Pear,Pyrus pyrifolia,pome,Macro-Break,16:9,public/images/fruits/asian-pear/macro-break.jpg,pending,"Extreme macro photography of Asian pear cross-section, focusing on crystalline cellular fracture overflowing with clear juice, translucent white cell matrix, reflective moisture, 100mm macro, f/2.8. --ar 16:9","Extreme macro photography of Asian pear cross-section, focusing on crystalline cellular fracture overflowing with clear juice, translucent white cell matrix, reflective moisture, 100mm macro, f/2.8. --ar 16:9 --style raw --v 6.1",Macro photograph of asian-pear
avocado,avocado,Avocado,Persea americana,tropical,Hero,16:9,public/images/fruits/avocado/hero.jpg,pending,"Commercial editorial food photography of fresh ripe Hass avocado, right-weighted composition with the fruit positioned on the right third of the frame, leaving clean deep matte dark negative space on the left. Arrangement shows one whole avocado with dark pebbled leathery skin alongside one half sliced lengthwise revealing buttery pale green-yellow flesh, smooth circular brown pit, and fresh green laurel leaf, resting on a wet dark charcoal slate slab. Dramatic chiaroscuro studio lighting, warm rim highlights on the buttery contours, deep black background, Hasselblad H6D-100c, 85mm, f/4.0, ultra-photorealistic. --ar 16:9","Commercial editorial food photography of fresh ripe Hass avocado, right-weighted composition with the fruit positioned on the right third of the frame, leaving clean deep matte dark negative space on the left. Arrangement shows one whole avocado with dark pebbled leathery skin alongside one half sliced lengthwise revealing buttery pale green-yellow flesh, smooth circular brown pit, and fresh green laurel leaf, resting on a wet dark charcoal slate slab. Dramatic chiaroscuro studio lighting, warm rim highlights on the buttery contours, deep black background, Hasselblad H6D-100c, 85mm, f/4.0, ultra-photorealistic. --ar 16:9 --style raw --v 6.1",A ripe Hass avocado sliced in half with the rich round pit visible in one half on dark slate
avocado,avocado,Avocado,Persea americana,tropical,Macro-Break,16:9,public/images/fruits/avocado/macro-break.jpg,pending,"Extreme macro photography of sliced ripe avocado, focusing on the velvety buttery oleic lipid matrix, smooth gradient from silky lime-green flesh near the rind to rich creamy ivory butter, delicate natural oil sheen, wet dark slate backdrop, 100mm macro lens, f/2.8, hyper-detailed lipid emulsion texture. --ar 16:9","Extreme macro photography of sliced ripe avocado, focusing on the velvety buttery oleic lipid matrix, smooth gradient from silky lime-green flesh near the rind to rich creamy ivory butter, delicate natural oil sheen, wet dark slate backdrop, 100mm macro lens, f/2.8, hyper-detailed lipid emulsion texture. --ar 16:9 --style raw --v 6.1",Extreme macro close up photography of smooth creamy buttery avocado flesh texture
